term,page,page_num,chapter,ch_title,formatted
parallel coordinate plots,98,98,4,Plots of Multivariate Data,NA
outliers,99,99,4,Plots of Multivariate Data,NA
clusters,99,99,4,Plots of Multivariate Data,NA
PRIM-9,99,99,4,Plots of Multivariate Data,NA
grand tour,99,99,4,Plots of Multivariate Data,NA
projection,100,100,4,Plots of Multivariate Data,NA
len(),103,103,4,Plots of Multivariate Data,\texttt{len()}
biplot,104,104,4,Plots of Multivariate Data,NA
projection,104,104,4,Plots of Multivariate Data,NA
grand tour,105,105,4,Plots of Multivariate Data,NA
guided tour,105,105,4,Plots of Multivariate Data,NA
projection pursuit,105,105,4,Plots of Multivariate Data,NA
tourr,106,106,4,Plots of Multivariate Data,\texttt{tourr} package
packages!tourr,106,106,4,Plots of Multivariate Data,packages!\texttt{tourr}
tourr,106,106,4,Plots of Multivariate Data,\texttt{tourr} package
packages!tourr,106,106,4,Plots of Multivariate Data,packages!\texttt{tourr}
Mahalanobis distance,107,107,4,Plots of Multivariate Data,NA
guided tour,107,107,4,Plots of Multivariate Data,NA
animation!grand tour,108,108,4,Plots of Multivariate Data,NA
tourr,110,110,4,Plots of Multivariate Data,\texttt{tourr} package
packages!tourr,110,110,4,Plots of Multivariate Data,packages!\texttt{tourr}
liminal,110,110,4,Plots of Multivariate Data,\texttt{liminal} package
packages!liminal,110,110,4,Plots of Multivariate Data,packages!\texttt{liminal}
loon,110,110,4,Plots of Multivariate Data,\texttt{loon} package
packages!loon,110,110,4,Plots of Multivariate Data,packages!\texttt{loon}
network diagram,110,110,4,Plots of Multivariate Data,NA
bfi,110,110,4,Plots of Multivariate Data,\texttt{bfi} data
datasets!bfi,110,110,4,Plots of Multivariate Data,datasets!\texttt{bfi}
psych,110,110,4,Plots of Multivariate Data,\texttt{psych} package
packages!psych,110,110,4,Plots of Multivariate Data,packages!\texttt{psych}
graphical LASSO,111,111,4,Plots of Multivariate Data,NA
igraph,112,112,4,Plots of Multivariate Data,\texttt{igraph} package
packages!igraph,112,112,4,Plots of Multivariate Data,packages!\texttt{igraph}
ggraph,112,112,4,Plots of Multivariate Data,\texttt{ggraph} package
packages!ggraph,112,112,4,Plots of Multivariate Data,packages!\texttt{ggraph}
qgraph,112,112,4,Plots of Multivariate Data,\texttt{qgraph} package
packages!qgraph,112,112,4,Plots of Multivariate Data,packages!\texttt{qgraph}
network diagram,113,113,4,Plots of Multivariate Data,NA
partial correlation,113,113,4,Plots of Multivariate Data,NA
graphical gaussian model,113,113,4,Plots of Multivariate Data,NA
conditional independence,113,113,4,Plots of Multivariate Data,NA
precision matrix,114,114,4,Plots of Multivariate Data,NA
partial correlation!visualization,114,114,4,Plots of Multivariate Data,NA
partial variables plot,114,114,4,Plots of Multivariate Data,NA
dataEllipse(),115,115,4,Plots of Multivariate Data,\texttt{dataEllipse()}
partial variables plot,116,116,4,Plots of Multivariate Data,NA
partial correlation,116,116,4,Plots of Multivariate Data,NA
Flatland,119,119,5,Dimension Reduction,\emph{Flatland}
multivariate juicer,120,120,5,Dimension Reduction,NA
data space,120,120,5,Dimension Reduction,NA
projection,120,120,5,Dimension Reduction,NA
principal components analysis,120,120,5,Dimension Reduction,NA
biplot,120,120,5,Dimension Reduction,NA
multivariate juicer,121,121,5,Dimension Reduction,NA
principal components analysis,122,122,5,Dimension Reduction,NA
PCA,122,122,5,Dimension Reduction,NA
principal components analysis!springs,124,124,5,Dimension Reduction,NA
principal components analysis!geometry,125,125,5,Dimension Reduction,NA
workers,126,126,5,Dimension Reduction,\texttt{workers} data
datasets!workers,126,126,5,Dimension Reduction,datasets!\texttt{workers}
matlib,128,128,5,Dimension Reduction,\texttt{matlib} package
packages!matlib,128,128,5,Dimension Reduction,packages!\texttt{matlib}
